N0582,N0816,N1594,N1882,N2550,N3375
0.032,0.281,0.943,0.632,0.62,0.225
0.028,0.256,0.806,0.612,0.572,0.323
0.245,0.4,1.768,0.622,1.211,0.629
0.161,0.278,0.769,0.594,0.799,0.619
0.201,0.278,0.437,0.597,0.609,0.588
0.188,0.286,0.444,0.731,0.519,0.499
0.234,0.413,0.502,0.289,0.424,0.414
0.178,0.264,0.439,0.713,0.429,0.517
0.167,0.259,0.414,0.322,0.432,0.466
0.34,0.257,0.345,0.141,0.365,0.37
0.177,0.258,1.012,0.077,0.358,0.265
0.162,0.259,0.526,0.072,0.348,0.356
0.104,0.188,0.633,0.145,0.43,0.082
0.104,0.142,0.203,0.145,0.391,0.089
0.267,0.117,0.184,0.07,0.401,0.069
0.107,0.119,0.151,0.075,0.37,0.057
0.107,0.084,0.159,0.072,0.352,0.095
0.105,0.076,0.166,0.072,0.35,0.103
0.098,0.107,0.156,0.073,0.168,0.157
0.09,0.114,0.15,0.147,0.128,0.098
0.061,0.09,0.171,0.129,0.126,0.094
0.065,0.09,0.158,0.07,0.125,0.072
0.064,0.09,0.163,0.142,0.127,0.052
0.064,0.089,0.148,0.099,0.126,0.077
0.088,0.131,0.179,0.072,0.126,0.076
0.353,0.338,0.185,0.07,0.125,0.046
0.33,0.166,0.176,0.133,0.159,0.261
0.301,0.163,0.441,0.132,0.141,0.165
0.381,0.193,0.591,0.065,0.132,0.16
0.141,0.158,0.374,0.063,0.149,0.452
0.06,0.146,0.294,0.064,0.124,0.52
0.066,0.128,0.272,0.064,0.237,0.304
0.062,0.118,0.301,0.222,0.129,0.375
0.052,0.121,0.212,0.324,0.122,0.3
0.064,0.116,0.411,0.27,0.2,0.242
0.039,0.117,0.198,0.069,0.172,0.52
0.024,0.113,0.201,0.072,0.408,0.259
0.035,0.09,0.214,0.068,0.288,0.515
0.025,0.083,0.199,0.464,0.477,0.372
0.063,0.05,0.235,0.573,1.58,0.304
0.036,0.057,0.419,0.786,0.92,0.227
0.034,0.095,0.364,0.634,0.844,0.309
0.023,0.091,0.77,0.584,0.19,0.249
0.034,0.09,0.439,0.586,0.337,0.254
0.05,0.118,0.575,0.575,0.436,0.309
0.038,0.118,0.547,0.718,0.583,0.423
0.029,0.293,0.516,0.625,0.745,0.506
0.024,0.217,1.165,0.632,0.433,0.403
0.033,0.325,2.064,0.673,0.51,0.517
0.055,0.277,1.618,0.585,0.599,1.12
0.219,0.726,0.683,0.691,0.474,1.008
0.133,0.246,0.561,0.655,0.348,1.1
0.132,0.396,0.517,0.637,0.346,0.56
0.228,0.261,0.659,0.621,0.34,0.41
0.15,0.261,0.464,0.765,0.431,0.381
0.134,0.261,0.399,0.67,0.487,0.214
0.133,0.252,0.386,0.682,0.505,0.273
0.225,0.223,0.384,0.664,0.56,0.359
0.182,0.228,0.342,0.074,0.419,0.261
0.208,0.255,0.232,0.068,0.324,0.19
0.137,0.251,0.168,0.125,0.249,0.107
0.092,0.252,0.18,0.143,0.246,0.101
0.103,0.249,0.145,0.071,0.168,0.093
0.091,0.158,0.168,0.072,0.128,0.084
0.073,0.125,0.147,0.076,0.138,0.094
0.055,0.1,0.157,0.07,0.136,0.098
0.066,0.12,0.162,0.071,0.13,0.108
0.064,0.142,0.147,0.112,0.13,0.128
0.097,0.141,0.165,0.15,0.128,0.165
0.063,0.14,0.161,0.085,0.131,0.133
0.063,0.171,0.133,0.069,0.128,0.109
0.171,0.34,0.206,0.069,0.129,0.102
0.081,0.195,0.356,0.069,0.128,0.091
0.097,0.154,0.178,0.067,0.129,0.095
0.184,0.163,0.362,0.069,0.157,0.276
0.415,0.156,0.36,0.15,0.147,0.154
0.204,0.129,0.457,0.123,0.141,0.189
0.17,0.089,0.564,0.403,0.186,0.333
0.136,0.098,0.887,0.148,0.298,0.383
0.073,0.127,1.117,0.065,0.231,0.315
0.064,0.105,0.444,0.066,0.153,0.345
0.054,0.063,0.451,0.065,0.208,0.181
0.063,0.074,0.332,0.076,0.232,0.152
0.089,0.092,0.338,0.145,0.19,0.165
0.085,0.091,0.54,0.112,0.169,0.179
0.056,0.07,0.389,0.067,0.173,0.163
0.06,0.05,0.354,0.065,0.423,0.208
0.064,0.1,0.505,0.064,0.288,0.411
0.094,0.12,0.358,0.065,0.317,0.965
0.084,0.119,0.312,0.067,0.291,0.44
0.056,0.091,0.208,0.088,0.241,0.448
0.147,0.05,0.226,0.146,0.239,0.31
0.058,0.053,0.245,0.102,0.202,0.313
0.098,0.093,0.222,0.066,0.275,0.459
0.095,0.092,0.268,0.064,0.263,0.616
0.073,0.092,0.27,0.103,0.252,0.671
0.065,0.433,0.267,0.739,0.278,0.533
0.058,0.292,0.268,0.617,0.415,0.594
0.196,0.403,0.276,0.659,1.294,0.743
0.171,0.286,0.495,0.663,0.434,1.127
0.159,0.26,0.43,0.72,0.48,0.609
0.163,0.334,0.414,0.614,0.52,0.612
0.189,0.233,0.45,0.6,0.422,0.619
0.202,0.235,0.465,0.621,0.343,0.494
0.15,0.231,0.538,0.765,0.341,0.38
0.197,0.232,0.408,0.701,0.35,0.379
0.256,0.231,0.197,0.346,0.349,0.28
0.159,0.261,0.158,0.122,0.354,0.216
0.129,0.259,0.145,0.07,0.265,0.271
0.132,0.255,0.158,0.07,0.248,0.352
0.142,0.257,0.15,0.07,0.159,0.352
0.197,0.216,0.168,0.069,0.188,0.334
0.242,0.22,0.137,0.079,0.295,0.311
0.159,0.261,0.162,0.214,0.283,0.072
0.175,0.263,0.176,0.149,0.196,0.062
0.223,0.161,0.14,0.071,0.129,0.067
0.158,0.105,0.177,0.072,0.13,0.073
0.128,0.091,0.14,0.072,0.127,0.071
0.064,0.093,0.156,0.072,0.128,0.068
0.084,0.069,0.156,0.069,0.132,0.066
0.061,0.253,0.153,0.127,0.131,0.066
0.086,0.19,0.189,0.141,0.129,0.07
0.206,0.161,0.188,0.072,0.162,0.104
0.285,0.189,0.172,0.068,0.142,0.14
0.232,0.185,0.453,0.072,0.16,0.111
0.168,0.197,0.389,0.071,0.2,0.119
0.103,0.183,0.523,0.066,0.245,0.325
0.098,0.329,0.385,0.123,0.243,0.363
0.099,0.206,0.307,0.144,0.273,0.188
0.216,0.165,0.422,0.065,0.245,0.313
0.225,0.176,0.364,0.242,0.164,0.276
0.316,0.198,0.395,0.089,0.166,0.209
0.163,0.283,0.27,0.089,0.166,0.205
0.101,0.244,0.397,0.092,0.447,0.223
0.107,0.257,0.438,0.156,0.749,0.064
