N0582,N0816,N1594,N1882,N2550,N3375
0.198,0.064,0.219,0.057,0.473,0.074
0.231,0.065,0.21,0.057,0.453,0.077
0.178,0.106,0.186,0.064,0.307,0.099
0.134,0.106,0.146,0.091,0.263,0.087
0.132,0.106,0.157,0.147,0.4,0.065
0.107,0.106,0.164,0.12,0.43,0.072
0.111,0.105,0.168,0.06,0.418,0.086
0.146,0.106,0.139,0.066,0.29,0.081
0.109,0.105,0.158,0.065,0.125,0.062
0.103,0.105,0.156,0.058,0.124,0.075
0.158,0.105,0.128,0.057,0.129,0.084
0.142,0.081,0.169,0.13,0.208,0.075
0.131,0.064,0.144,0.149,0.155,0.059
0.25,0.077,0.162,0.064,0.123,0.078
0.147,0.109,0.144,0.056,0.123,0.102
0.116,0.105,0.182,0.056,0.121,0.079
0.193,0.106,0.506,0.054,0.122,0.237
0.323,0.104,0.541,0.223,0.152,0.341
0.201,0.105,0.453,0.155,0.125,0.527
0.139,0.104,0.428,0.184,0.12,0.381
0.173,0.104,0.471,0.066,0.123,0.295
0.113,0.094,0.383,0.063,0.126,0.328
0.138,0.064,0.803,0.063,0.125,0.334
0.095,0.063,0.363,0.064,0.122,0.302
0.104,0.108,0.321,0.119,0.12,0.671
0.126,0.107,0.608,0.151,0.121,0.565
0.088,0.105,0.495,0.073,0.242,0.296
0.096,0.106,0.289,0.063,0.135,0.294
0.127,0.105,0.324,0.062,0.158,0.32
0.091,0.105,0.326,0.07,0.164,0.377
0.098,0.104,0.435,0.921,0.146,0.341
0.118,0.103,0.807,1.122,0.135,0.229
0.097,0.104,0.788,0.793,0.137,0.339
0.1,0.104,0.701,0.598,0.144,0.288
0.115,0.074,1.38,0.503,0.142,0.25
0.098,0.064,0.992,0.134,0.197,0.214
0.102,0.083,0.803,0.129,0.136,0.179
0.116,0.107,0.41,0.128,0.13,0.186
0.117,0.105,0.685,0.18,0.132,0.331
0.131,0.105,0.662,0.69,0.152,0.455
0.325,0.104,0.745,0.669,0.133,0.493
0.238,0.105,0.36,0.627,0.136,0.618
0.331,0.105,0.326,0.633,0.131,0.658
0.256,0.106,0.48,0.642,0.279,1.57
0.276,0.105,0.317,0.779,0.468,0.787
0.234,0.071,0.35,0.753,0.622,0.605
0.21,0.064,0.304,0.24,0.454,0.386
0.274,0.093,0.192,0.068,0.41,0.359
0.175,0.107,0.142,0.06,0.405,0.271
0.165,0.106,0.172,0.063,0.406,0.145
0.157,0.106,0.144,0.068,0.374,0.089
0.141,0.105,0.172,0.083,0.171,0.067
0.158,0.105,0.175,0.145,0.126,0.075
0.116,0.105,0.168,0.105,0.13,0.071
0.123,0.106,0.152,0.064,0.127,0.054
0.148,0.104,0.147,0.065,0.122,0.06
0.13,0.065,0.166,0.063,0.123,0.074
0.12,0.065,0.147,0.057,0.123,0.073
0.158,0.1,0.153,0.105,0.159,0.052
0.155,0.107,0.153,0.14,0.153,0.059
0.15,0.105,0.153,0.079,0.157,0.073
0.159,0.105,0.218,0.063,0.158,0.069
0.31,0.105,0.178,0.057,0.156,0.054
0.563,0.104,0.16,0.056,0.15,0.174
0.261,0.105,0.582,0.055,0.151,0.274
0.352,0.104,0.739,0.13,0.18,0.233
0.181,0.103,0.307,0.276,0.151,0.387
0.186,0.104,0.3,0.104,0.147,0.325
0.831,0.104,0.397,0.058,0.149,0.258
0.266,0.104,0.326,0.056,0.151,0.237
0.18,0.076,0.408,0.055,0.155,0.203
0.173,0.221,0.351,0.081,0.153,0.19
0.15,0.211,0.166,0.143,0.152,0.194
0.048,0.142,0.289,0.095,0.148,0.231
0.034,0.126,0.211,0.055,0.149,0.345
0.076,0.249,0.458,0.054,0.15,0.25
0.042,0.451,0.214,0.061,0.15,0.479
0.033,1.299,0.388,0.223,0.167,0.303
0.08,0.884,0.26,0.146,0.296,0.203
0.044,0.679,0.516,0.596,0.178,0.305
0.036,0.765,0.389,0.722,0.141,0.249
0.071,0.69,0.307,0.622,0.184,0.204
0.049,0.853,0.32,0.619,0.141,0.248
0.044,1.092,0.722,0.621,0.203,0.178
0.056,1.012,1.692,0.601,0.363,0.084
0.054,0.556,1.156,0.576,0.345,0.063
0.073,0.419,0.485,0.292,0.336,0.077
0.104,0.313,0.353,0.147,0.351,0.163
0.195,0.296,0.37,0.659,0.478,0.463
0.13,0.286,0.336,0.615,0.482,0.41
0.116,0.276,0.353,0.642,0.539,0.601
0.136,0.277,0.461,0.879,0.506,0.419
0.159,0.275,0.315,0.756,0.303,0.399
0.178,0.417,0.341,0.475,0.394,0.479
0.173,0.273,0.153,0.202,0.41,0.36
0.088,0.252,0.157,0.198,0.31,0.237
0.054,0.253,0.165,0.058,0.365,0.127
0.083,0.331,0.162,0.144,0.261,0.088
0.038,0.295,0.149,0.108,0.263,0.078
0.057,0.258,0.148,0.065,0.25,0.081
0.072,0.239,0.169,0.064,0.31,0.078
0.035,0.236,0.132,0.06,0.334,0.076
0.054,0.172,0.174,0.057,0.302,0.064
0.067,0.123,0.14,0.126,0.207,0.054
0.039,0.118,0.185,0.133,0.138,0.071
0.047,0.112,0.135,0.064,0.128,0.076
0.085,0.11,0.172,0.063,0.122,0.066
0.069,0.111,0.13,0.06,0.123,0.053
0.073,0.11,0.18,0.057,0.123,0.068
0.092,0.11,0.126,0.09,0.124,0.074
0.187,0.11,0.197,0.139,0.122,0.064
0.045,0.11,0.142,0.082,0.12,0.122
0.094,0.109,0.581,0.062,0.122,0.138
0.135,0.081,0.587,0.21,0.156,0.186
0.278,0.069,0.419,0.345,0.122,0.2
0.109,0.089,0.455,0.132,0.12,0.29
0.133,0.112,0.352,0.138,0.121,0.216
0.165,0.112,0.322,0.081,0.121,0.211
0.223,0.111,0.387,0.062,0.121,0.18
0.134,0.126,0.292,0.058,0.134,0.28
0.105,0.119,0.253,0.055,0.122,0.398
0.129,0.116,0.365,0.069,0.123,0.312
0.106,0.115,0.398,0.137,0.122,0.248
0.088,0.117,0.512,0.096,0.215,0.204
0.127,0.111,0.336,0.06,0.219,0.239
0.096,0.109,0.378,0.059,0.172,0.227
0.086,0.245,0.36,0.056,0.201,0.202
0.132,0.139,0.32,0.056,0.167,0.184
0.093,0.073,0.301,0.126,0.131,0.093
0.088,1.35,0.356,0.126,0.131,0.124
0.125,1.177,0.41,0.06,0.13,0.274
0.099,0.736,0.56,0.379,0.293,0.076
0.096,0.884,1.107,0.597,0.271,0.088
0.11,0.126,1.094,0.598,0.211,0.113
0.125,0.11,1.289,0.41,0.502,0.247
0.131,0.11,1.526,0.224,0.531,0.999
0.193,0.129,0.463,0.131,0.494,0.31
0.991,0.12,0.585,0.104,0.494,0.382
0.389,0.082,0.448,0.101,0.451,0.416
0.238,0.079,0.386,0.642,0.426,0.395
0.245,0.102,0.35,0.623,0.54,0.438
0.182,0.113,0.342,0.714,0.392,0.417
0.162,0.111,0.422,0.776,0.21,0.354
0.225,0.295,0.492,0.355,0.187,0.334
0.33,0.257,0.396,0.061,0.312,0.168
0.531,0.256,0.194,0.061,0.183,0.13
0.271,0.377,0.188,0.059,0.178,0.109
0.235,0.253,0.124,0.105,0.161,0.07
0.25,0.255,0.182,0.143,0.13,0.073
0.201,0.247,0.143,0.082,0.124,0.078
0.178,0.264,0.152,0.062,0.122,0.071
0.19,0.198,0.161,0.061,0.122,0.055
0.209,0.113,0.159,0.061,0.121,0.06
0.172,0.089,0.149,0.134,0.133,0.076
0.211,0.085,0.154,0.156,0.129,0.073
0.19,0.125,0.151,0.119,0.129,0.05
0.185,0.122,0.156,0.059,0.124,0.062
0.154,0.119,0.149,0.062,0.121,0.072
0.15,0.113,0.17,0.061,0.122,0.066
0.114,0.11,0.256,0.061,0.122,0.053
0.099,0.108,0.224,0.074,0.12,0.045
0.109,0.071,0.452,0.14,0.153,0.071
0.099,0.068,0.335,0.237,0.122,0.092
0.121,0.102,0.325,0.057,0.125,0.196
0.247,0.111,0.333,0.104,0.126,0.156
0.094,0.11,0.385,0.056,0.129,0.264
0.205,0.109,0.443,0.09,0.129,0.259
0.174,0.109,0.388,0.139,0.128,0.431
0.111,0.272,0.309,0.069,0.128,0.992
0.09,0.097,0.31,0.058,0.129,0.629
0.137,0.149,0.327,0.055,0.13,0.292
0.126,0.946,0.404,0.054,0.13,0.402
0.152,0.324,0.384,0.268,0.137,0.915
0.236,0.157,0.376,0.29,0.138,0.435
0.242,0.156,0.393,0.234,0.176,0.674
0.202,0.161,0.38,0.384,0.266,0.38
0.214,0.193,0.35,0.698,0.381,0.278
0.144,0.11,0.57,0.688,0.148,0.1
0.169,0.109,1.552,0.664,0.134,0.088
0.357,0.084,0.955,1.375,0.139,0.284
0.179,0.068,0.686,0.705,0.135,0.253
0.216,0.283,1.261,0.712,0.135,0.231
0.239,0.191,1.013,0.629,0.129,0.254
0.246,0.189,0.961,0.129,0.182,0.372
0.218,0.406,0.538,0.062,0.332,0.324
0.236,0.202,0.435,0.059,0.298,0.386
0.251,0.123,0.662,0.06,0.261,0.319
0.353,0.163,0.596,0.085,0.259,0.406
0.224,0.163,0.581,0.142,0.299,0.302
0.199,0.178,0.587,0.075,0.218,0.449
0.186,0.174,0.467,0.06,0.225,0.375
0.186,0.169,0.422,0.061,0.395,0.154
0.172,0.171,0.398,0.152,0.186,0.158
0.188,0.151,0.363,0.209,0.286,0.132
0.182,0.125,0.438,0.185,0.239,0.214
0.169,0.121,0.163,0.127,0.206,0.134
0.19,0.296,0.186,0.125,0.204,0.124
0.139,0.302,0.147,0.124,0.204,0.142
0.092,0.176,0.191,0.125,0.199,0.106
0.095,0.112,0.138,0.186,0.129,0.087
0.122,0.111,0.172,0.103,0.132,0.075
0.087,0.109,0.133,0.059,0.126,0.073
0.089,0.11,0.174,0.059,0.122,0.055
0.14,0.086,0.155,0.059,0.13,0.059
0.124,0.069,0.151,0.059,0.121,0.073
0.119,0.084,0.162,0.141,0.121,0.068
0.14,0.113,0.153,0.106,0.122,0.071
0.113,0.11,0.288,0.059,0.128,0.051
0.101,0.125,0.172,0.058,0.129,0.057
0.237,0.118,0.973,0.057,0.155,0.079
0.172,0.115,0.933,0.055,0.128,0.061
0.183,0.117,0.755,0.123,0.119,0.061
0.17,0.114,0.933,0.277,0.12,0.068
0.132,0.109,0.853,0.325,0.12,0.113
0.15,0.255,0.948,0.12,0.12,0.695
0.283,0.078,1.025,0.45,0.124,0.455
0.164,0.078,0.607,0.628,0.126,0.428
0.175,0.336,0.405,0.629,0.122,0.432
0.232,1.021,0.361,0.596,0.118,0.274
0.28,0.263,0.309,0.681,0.116,0.283
0.184,0.273,0.293,0.736,0.118,0.532
0.218,0.448,0.447,0.733,0.419,0.352
0.225,0.338,0.382,0.735,0.321,0.27
0.364,0.352,0.635,0.664,0.28,0.73
0.218,0.578,0.506,0.607,0.246,0.481
0.263,0.97,0.515,0.593,0.261,0.427
0.196,0.328,0.482,0.577,0.253,0.372
0.19,0.275,1.453,0.727,0.24,0.382
0.234,0.389,2.36,0.687,0.361,0.758
0.244,0.476,1.764,0.596,0.348,0.687
0.25,0.817,0.45,0.382,0.408,0.369
0.243,0.242,0.38,0.057,0.406,0.469
0.314,0.262,0.446,0.058,0.38,0.382
0.187,0.421,0.37,0.096,0.382,0.499
0.205,0.284,0.422,0.139,0.456,0.686
0.192,0.267,0.377,0.077,0.532,0.473
0.214,0.817,0.35,0.061,0.592,0.364
0.207,0.627,0.312,0.061,0.562,0.342
0.162,0.263,0.331,0.06,0.558,0.3
0.193,0.26,0.149,0.059,0.522,0.086
0.176,0.267,0.16,0.145,0.422,0.089
0.165,0.233,0.154,0.306,0.491,0.11
0.187,0.124,0.155,0.129,0.435,0.08
0.176,0.128,0.23,0.165,0.437,0.086
0.154,0.123,0.169,0.077,0.479,0.104
0.174,0.113,0.171,0.061,0.393,0.082
0.259,0.13,0.124,0.088,0.348,0.122
0.171,0.121,0.175,0.144,0.362,0.159
0.163,0.127,0.135,0.092,0.209,0.128
0.174,0.125,0.166,0.062,0.254,0.129
0.165,0.117,0.142,0.063,0.248,0.089
0.113,0.118,0.176,0.062,0.125,0.078
0.239,0.122,0.122,0.063,0.12,0.083
0.15,0.152,0.178,0.101,0.121,0.098
0.105,0.187,0.137,0.146,0.126,0.126
0.192,0.273,0.17,0.084,0.119,0.175
0.178,0.121,0.431,0.059,0.118,0.163
0.416,0.123,0.615,0.058,0.154,0.268
0.135,0.123,0.332,0.354,0.132,0.257
0.483,0.08,0.716,0.131,0.122,0.151
0.243,0.078,0.42,0.108,0.122,0.146
0.171,0.102,0.328,0.137,0.121,0.174
0.176,0.122,0.863,0.061,0.119,0.068
0.115,0.117,0.682,0.055,0.118,0.085
0.13,0.124,0.732,0.054,0.118,0.095
0.088,0.119,0.284,0.056,0.119,0.073
0.089,0.116,0.37,0.057,0.119,0.207
0.182,0.122,0.289,0.102,0.119,0.362
0.264,0.122,0.336,0.137,0.118,0.261
0.239,0.124,0.532,0.08,0.178,0.266
0.2,0.127,0.377,0.056,0.148,0.247
0.158,0.118,0.324,0.472,0.224,0.384
0.174,0.265,0.357,0.586,0.196,0.222
0.169,0.192,0.368,0.592,0.358,0.168
0.145,0.165,0.65,0.174,0.33,0.255
0.103,0.246,0.802,0.208,0.263,0.144
0.094,0.208,0.757,0.143,0.303,0.092
0.113,0.216,0.439,0.348,0.406,0.096
0.118,0.355,0.289,0.606,0.382,0.095
0.116,0.255,0.321,0.582,0.384,0.943
0.152,0.621,0.322,0.69,0.436,1.374
0.268,0.419,0.361,0.629,0.288,1.193
0.253,0.264,0.313,0.757,0.16,0.362
0.298,0.27,0.345,0.703,0.142,0.387
0.196,0.235,0.43,0.608,0.202,0.69
0.187,0.214,0.349,0.611,0.435,0.541
0.304,0.253,0.375,0.698,0.552,0.174
0.195,0.276,0.343,0.233,0.473,0.127
0.171,0.272,0.249,0.064,0.47,0.095
0.203,0.27,0.157,0.145,0.585,0.077
0.14,0.263,0.156,0.12,0.431,0.082
0.13,0.265,0.158,0.063,0.334,0.079
0.092,0.22,0.14,0.061,0.346,0.103
0.102,0.212,0.158,0.061,0.244,0.109
0.131,0.15,0.167,0.06,0.222,0.159
0.091,0.139,0.146,0.061,0.215,0.106
0.095,0.124,0.156,0.13,0.215,0.086
0.133,0.122,0.15,0.138,0.222,0.083
0.108,0.127,0.132,0.058,0.224,0.075
0.121,0.13,0.156,0.062,0.186,0.07
0.151,0.137,0.145,0.058,0.144,0.067
0.123,0.221,0.148,0.058,0.119,0.076
0.117,0.367,0.149,0.057,0.12,0.12
0.292,0.234,0.157,0.079,0.119,0.214
0.099,0.176,0.337,0.221,0.122,0.161
0.295,0.187,0.271,0.278,0.153,0.154
0.202,0.176,0.356,0.267,0.134,0.224
0.129,0.219,0.269,0.124,0.119,0.318
0.139,0.176,0.395,0.063,0.122,0.135
0.118,0.126,0.461,0.061,0.121,0.076
0.13,0.113,0.385,0.064,0.121,0.076
0.126,0.124,0.249,0.135,0.122,0.068
0.102,0.122,0.259,0.135,0.12,0.432
0.052,0.114,0.335,0.061,0.119,0.236
0.053,0.12,0.417,0.061,0.12,0.338
0.052,0.123,0.436,0.062,0.12,0.328
0.038,0.122,0.466,0.062,0.128,0.323
0.067,0.112,0.529,0.061,0.139,0.307
0.048,0.127,0.489,0.108,0.338,0.259
0.034,0.124,0.298,0.283,0.203,0.299
0.076,0.132,0.321,0.104,0.254,0.321
0.042,0.275,0.246,0.114,0.173,0.387
0.033,0.21,0.276,0.09,0.197,0.23
0.077,0.178,1.118,0.068,0.185,0.164
0.042,0.283,1.031,0.513,0.246,0.088
0.043,0.259,1.19,0.711,0.182,0.081
0.079,0.286,0.399,0.624,0.134,0.304
0.086,0.437,0.835,0.589,0.145,0.339
0.253,0.341,0.784,0.306,0.13,0.504
0.196,0.265,0.887,0.097,0.126,0.696
0.218,0.288,0.396,0.099,0.127,0.458
0.138,0.259,0.386,0.156,0.126,0.4
0.152,0.268,0.344,0.58,0.343,0.417
0.251,0.271,0.387,1.05,0.229,0.311
0.136,0.294,0.317,0.838,0.329,0.291
0.141,0.419,0.352,0.311,0.334,0.148
0.137,0.268,0.314,0.066,0.318,0.092
0.174,0.273,0.283,0.065,0.2,0.078
0.15,0.151,0.154,0.097,0.121,0.065
0.052,0.119,0.155,0.145,0.121,0.063
0.094,0.118,0.149,0.092,0.12,0.07
0.06,0.114,0.138,0.061,0.124,0.065
0.049,0.116,0.191,0.064,0.148,0.072
0.087,0.135,0.131,0.06,0.173,0.074
0.063,0.114,0.176,0.105,0.124,0.104
0.051,0.127,0.134,0.101,0.125,0.115
0.093,0.116,0.16,0.14,0.124,0.126
0.099,0.122,0.135,0.079,0.121,0.106
0.08,0.12,0.157,0.057,0.12,0.063
0.093,0.165,0.155,0.056,0.121,0.062
0.108,0.333,0.147,0.057,0.121,0.119
0.234,0.152,0.198,0.056,0.12,0.213
0.331,0.169,0.274,0.082,0.121,0.22
0.22,0.187,0.37,0.137,0.148,0.571
0.122,0.195,0.512,0.204,0.119,0.349
0.063,0.152,0.366,0.067,0.118,0.301
0.058,0.115,0.385,0.063,0.117,0.204
0.054,0.114,0.385,0.063,0.118,0.373
0.228,0.112,0.389,0.063,0.118,0.716
0.637,0.112,0.22,0.109,0.117,0.257
0.149,0.111,0.186,0.144,0.117,0.306
0.043,0.111,0.205,0.077,0.119,0.312
0.063,0.111,0.419,0.065,0.119,0.217
0.066,0.111,0.434,0.064,0.13,0.223
0.034,0.107,0.41,0.065,0.131,0.246
0.046,0.072,0.465,0.064,0.136,0.188
0.077,0.071,0.298,0.42,0.394,0.218
0.034,0.103,0.575,0.801,0.218,0.273
0.045,0.127,0.698,0.678,0.159,0.158
0.073,0.116,0.52,0.303,0.136,0.105
0.036,0.292,0.307,0.131,0.398,0.304
0.049,0.207,1.074,0.532,0.261,0.142
0.059,0.278,1.119,0.647,0.538,0.152
0.044,0.265,0.329,0.346,0.852,0.143
0.073,0.219,0.33,0.093,0.753,0.162
0.19,0.271,0.445,0.158,0.183,0.181
0.131,0.388,0.366,0.92,0.13,0.484
0.205,0.271,0.409,1.082,0.129,0.345
0.219,0.718,0.359,0.788,0.126,0.407
0.189,0.682,0.381,0.682,0.128,0.691
0.142,0.304,0.375,0.72,0.134,0.25
0.229,0.32,0.369,0.637,0.132,0.291
0.145,0.298,0.343,0.799,0.17,0.281
0.121,0.35,0.318,0.597,0.288,0.11
0.13,0.274,0.164,0.091,0.429,0.067
0.169,0.261,0.14,0.062,0.197,0.063
0.072,0.262,0.167,0.062,0.311,0.061
0.037,0.256,0.154,0.061,0.268,0.073
0.082,0.257,0.161,0.093,0.239,0.072
0.048,0.148,0.13,0.145,0.242,0.067
0.036,0.116,0.179,0.076,0.237,0.066
0.069,0.109,0.125,0.06,0.238,0.061
0.055,0.109,0.176,0.061,0.182,0.064
0.034,0.11,0.146,0.059,0.125,0.061
0.078,0.094,0.165,0.114,0.121,0.06
0.089,0.09,0.135,0.196,0.123,0.1
0.061,0.075,0.158,0.084,0.135,0.109
0.227,0.767,0.135,0.061,0.153,0.126
0.199,1.037,0.153,0.058,0.141,0.164
0.13,0.974,0.174,0.057,0.123,0.184
0.28,0.425,0.133,0.057,0.122,0.411
0.246,0.148,0.437,0.433,0.147,0.243
0.154,0.148,0.644,0.469,0.119,0.306
0.102,0.165,0.882,0.125,0.119,0.324
0.062,0.163,0.577,0.12,0.12,0.242
0.058,0.164,0.422,0.136,0.122,0.292
0.054,0.123,0.53,0.061,0.122,0.25
0.563,0.118,0.334,0.099,0.122,0.204
0.1,0.115,0.29,0.098,0.12,0.2
0.102,0.106,0.502,0.076,0.121,0.19
0.044,0.071,0.827,0.118,0.121,0.254
0.061,0.067,0.728,0.053,0.125,0.333
0.043,0.103,0.568,0.128,0.124,0.198
0.045,0.111,0.477,0.192,0.154,0.196
0.065,0.109,0.329,0.087,0.157,0.228
0.039,0.109,0.298,0.097,0.421,0.202
0.049,0.109,0.275,0.522,0.231,0.192
0.063,0.108,0.356,0.644,0.168,0.194
0.039,0.108,0.303,0.37,0.491,0.208
0.049,0.343,0.438,0.347,0.792,0.118
0.059,0.179,1.59,0.625,0.507,0.085
0.042,0.295,1.107,0.785,0.199,0.082
0.069,0.213,0.655,0.604,0.228,0.352
0.082,0.391,0.374,0.613,0.26,0.408
0.069,0.36,0.432,0.734,0.432,0.4
0.079,0.262,0.433,0.664,0.375,0.431
0.082,0.297,0.379,0.739,0.4,0.674
0.073,0.276,0.337,0.731,0.465,0.336
0.294,0.314,0.345,0.676,0.623,0.402
0.148,0.379,0.489,0.667,0.839,0.273
0.121,0.293,0.347,0.71,0.843,0.167
0.146,0.285,0.352,0.363,0.657,0.112
0.101,0.247,0.22,0.142,0.605,0.073
0.061,0.121,0.219,0.065,0.5,0.082
0.103,0.11,0.165,0.059,0.449,0.086
0.142,0.108,0.195,0.06,0.466,0.078
0.152,0.088,0.155,0.06,0.445,0.068
0.128,0.07,0.203,0.141,0.45,0.066
0.097,0.076,0.151,0.107,0.527,0.067
0.116,0.127,0.193,0.059,0.252,0.082
0.107,0.119,0.144,0.058,0.349,0.079
0.096,0.119,0.198,0.06,0.353,0.067
0.133,0.115,0.142,0.062,0.227,0.065
0.115,0.118,0.183,0.146,0.16,0.065
0.126,0.127,0.195,0.108,0.212,0.066
0.144,0.38,0.327,0.057,0.242,0.078
0.11,0.218,0.142,0.056,0.239,0.111
0.256,0.307,0.211,0.058,0.194,0.149
0.27,0.234,0.423,0.057,0.131,0.154
0.287,0.117,0.66,0.222,0.133,0.373
0.176,0.134,0.378,0.289,0.12,0.407
0.197,0.116,0.474,0.254,0.102,0.367
0.092,0.118,0.263,0.796,0.101,0.286
0.084,0.114,0.449,0.319,0.103,0.242
0.125,0.114,0.238,0.145,0.106,0.241
0.088,0.108,0.219,0.091,0.105,0.204
0.082,0.108,0.492,0.135,0.104,0.214
0.123,0.108,0.3,0.126,0.105,0.226
0.092,0.108,0.392,0.059,0.101,0.372
0.082,0.109,0.279,0.058,0.113,0.246
0.119,0.108,0.277,0.056,0.137,0.225
0.096,0.1,0.344,0.055,0.142,0.206
0.083,0.068,0.435,0.061,0.163,0.276
0.117,0.067,0.36,0.139,0.173,0.208
0.099,0.105,0.515,0.113,0.195,0.284
0.084,0.111,0.576,0.702,0.135,0.221
0.109,0.112,0.457,0.548,0.134,0.247
0.104,0.445,0.798,0.545,0.14,0.214
0.083,0.27,0.455,0.56,0.136,0.125
0.108,0.3,0.444,0.68,0.135,0.082
0.126,0.254,0.288,0.652,0.136,0.263
0.11,0.409,0.261,0.602,0.152,0.708
0.133,0.267,0.341,0.597,0.129,0.572
0.269,0.338,0.318,0.624,0.128,0.377
0.166,0.277,0.361,0.627,0.128,0.476
0.179,0.256,0.332,0.807,0.24,0.423
0.212,0.254,0.337,0.792,0.315,0.395
0.161,0.191,0.29,0.721,0.415,0.301
0.276,0.351,0.29,0.714,0.481,0.148
0.22,0.246,0.294,0.199,0.63,0.138
0.19,0.27,0.247,0.061,0.71,0.103
0.166,0.261,0.17,0.093,0.336,0.141
0.304,0.16,0.157,0.145,0.393,0.123
0.224,0.118,0.172,0.086,0.435,0.072
0.211,0.098,0.166,0.061,0.434,0.066
0.269,0.071,0.156,0.063,0.502,0.062
0.165,0.076,0.16,0.06,0.438,0.059
0.15,0.117,0.165,0.06,0.407,0.065
0.183,0.111,0.172,0.114,0.414,0.067
0.166,0.111,0.15,0.139,0.253,0.063
0.154,0.11,0.185,0.061,0.24,0.066
0.202,0.11,0.13,0.058,0.226,0.072
0.124,0.11,0.21,0.057,0.204,0.066
0.117,0.174,0.208,0.057,0.123,0.06
0.139,0.145,0.194,0.058,0.124,0.094
0.112,0.146,0.338,0.102,0.124,0.091
0.273,0.215,0.201,0.137,0.127,0.086
0.113,0.328,0.441,0.217,0.162,0.099
0.114,0.26,0.627,0.088,0.137,0.302
0.183,0.234,0.377,0.058,0.127,0.163
0.178,0.213,0.417,0.056,0.122,0.103
0.211,0.289,0.917,0.056,0.121,0.161
0.099,0.118,0.887,0.113,0.121,0.391
0.182,0.211,0.284,0.136,0.121,0.262
0.168,0.173,0.29,0.059,0.122,0.366
0.234,0.274,0.394,0.059,0.12,0.246
0.197,0.317,0.246,0.06,0.121,0.299
0.154,0.21,0.664,0.059,0.124,0.18
0.202,0.117,0.355,0.056,0.213,0.417
0.25,0.116,0.539,0.136,0.256,0.169
0.213,0.115,0.735,0.116,0.123,0.168
0.288,0.116,0.657,0.058,0.123,0.506
0.55,0.134,0.344,0.249,0.123,0.603
0.359,0.122,0.424,0.298,0.122,0.274
0.364,0.081,0.331,1.006,0.122,0.52
0.329,0.083,0.334,0.621,0.123,0.303
0.384,0.326,1.016,0.617,0.127,0.272
0.205,0.214,1.024,0.764,0.128,0.463
0.19,0.268,0.389,0.427,0.122,0.345
0.16,0.305,0.354,0.108,0.121,0.533
0.311,0.133,0.357,0.137,0.134,0.698
0.194,0.127,0.456,0.06,0.121,0.841
0.137,0.161,0.38,0.058,0.119,0.709
0.121,0.172,0.381,0.06,0.12,0.385
0.128,0.169,0.471,0.062,0.191,0.378
0.173,0.17,0.378,0.062,0.321,0.391
0.169,0.171,0.352,0.145,0.375,0.332
0.155,0.17,0.231,0.114,0.209,0.34
0.14,0.134,0.158,0.218,0.163,0.112
0.132,0.13,0.172,0.132,0.123,0.107
0.155,0.151,0.149,0.087,0.123,0.127
0.147,0.172,0.186,0.058,0.124,0.122
0.126,0.191,0.151,0.091,0.123,0.105
0.137,0.176,0.184,0.142,0.123,0.063
0.156,0.331,0.142,0.086,0.124,0.063
0.094,0.124,0.181,0.06,0.128,0.076
0.091,0.1,0.16,0.059,0.128,0.07
0.108,0.125,0.151,0.059,0.267,0.059
0.09,0.118,0.169,0.06,0.508,0.057
0.122,0.118,0.147,0.106,0.444,0.058
0.145,0.118,0.172,0.141,0.241,0.066
0.114,0.116,0.146,0.076,0.204,0.072
0.114,0.116,0.184,0.058,0.272,0.094
0.133,0.116,0.138,0.058,0.208,0.089
0.094,0.116,0.652,0.058,0.167,0.09
0.097,0.107,0.497,0.056,0.165,0.089
0.142,0.074,0.36,0.078,0.14,0.089
0.087,0.075,0.509,0.136,0.136,0.256
0.261,0.113,0.6,0.269,0.131,0.128
0.159,0.117,0.436,0.401,0.131,0.311
0.225,0.115,0.459,0.161,0.132,0.371
0.142,0.131,0.311,0.088,0.133,0.251
0.545,0.281,0.781,0.098,0.192,0.113
0.363,0.172,0.338,0.599,0.137,0.192
0.363,0.155,0.464,0.804,0.137,0.187
0.23,0.226,0.319,0.611,0.132,0.16
0.183,0.126,0.328,0.574,0.238,0.386
0.188,0.243,0.295,0.618,0.172,0.278
0.191,0.618,0.354,0.657,0.134,0.262
0.168,0.647,0.317,0.682,0.133,0.293
0.2,0.384,0.665,0.708,0.132,0.417
0.297,0.268,0.942,0.607,0.132,0.363
0.191,0.177,0.89,0.624,0.138,0.312
0.576,0.235,0.91,0.68,0.136,0.119
0.327,0.123,1.93,0.736,0.136,0.33
0.376,0.121,2.21,0.647,0.131,0.258
0.423,0.121,0.477,0.412,0.212,0.232
0.236,0.122,0.4,0.068,0.27,0.714
0.181,0.127,0.356,0.107,0.242,0.447
0.304,0.364,0.398,0.157,0.243,0.52
0.349,0.846,0.807,0.078,0.241,0.425
0.239,0.989,0.944,0.069,0.252,0.855
0.256,1.005,0.465,0.066,0.254,0.551
0.274,0.959,0.387,0.063,0.251,0.523
0.221,0.299,0.323,0.124,0.266,0.244
0.199,0.249,0.372,0.144,0.285,0.154
0.218,0.394,0.238,0.227,0.287,0.116
0.194,0.239,0.188,0.156,0.364,0.171
0.205,0.374,0.153,0.085,0.444,0.138
0.174,0.186,0.182,0.129,0.448,0.151
0.169,0.134,0.149,0.148,0.306,0.131
0.165,0.125,0.174,0.127,0.224,0.098
