,iteration_1,iteration_2,iteration_3
batch_226,-0.1875,-0.1171875,-0.21875
batch_227,-0.09375,-0.2265625,-0.1640625
batch_228,-0.40625,-0.140625,-0.1484375
batch_229,-0.2890625,-0.203125,-0.09375
batch_230,-0.2578125,-0.1953125,-0.1328125
batch_231,-0.109375,-0.09375,-0.140625
batch_232,-0.0859375,-0.171875,-0.125
batch_233,-0.0859375,-0.171875,-0.1640625
batch_234,-0.2109375,-0.125,-0.203125
batch_235,-0.03125,-0.203125,-0.3125
batch_236,-0.1171875,-0.2421875,-0.296875
batch_237,-0.265625,-0.3203125,-0.2578125
batch_238,-0.2109375,-0.140625,-0.1953125
batch_239,-0.2265625,-0.4296875,-0.203125
batch_240,-0.1953125,-0.234375,-0.140625
batch_241,-0.078125,-0.21875,-0.1796875
batch_242,-0.171875,-0.1484375,-0.3125
batch_243,-0.375,-0.328125,-0.09375
batch_244,-0.125,-0.0859375,-0.015625
batch_245,-0.1953125,-0.2421875,-0.2421875
batch_246,-0.1171875,-0.1953125,-0.21875
batch_247,-0.265625,-0.234375,-0.1171875
batch_248,-0.21875,-0.1171875,-0.203125
batch_249,-0.2265625,-0.15625,-0.2109375
batch_250,-0.15625,-0.3125,-0.046875
batch_251,-0.234375,-0.1328125,-0.0625
batch_252,-0.171875,-0.125,-0.328125
batch_253,-0.1640625,-0.15625,-0.265625
batch_254,-0.1875,-0.1953125,-0.046875
batch_255,-0.1015625,-0.140625,-0.171875
batch_256,-0.1328125,-0.28125,-0.171875
batch_257,-0.234375,-0.1796875,-0.296875
batch_258,-0.046875,-0.171875,-0.15625
batch_259,-0.234375,-0.1796875,-0.015625
batch_260,-0.1953125,-0.203125,-0.0859375
batch_261,-0.1484375,-0.328125,-0.203125
batch_262,-0.2109375,-0.234375,-0.2421875
batch_263,-0.109375,-0.09375,-0.2578125
batch_264,-0.203125,-0.15625,-0.265625
batch_265,-0.296875,-0.1875,-0.078125
batch_266,-0.140625,-0.171875,-0.2421875
batch_267,-0.2109375,-0.234375,-0.3046875
batch_268,-0.1796875,-0.109375,-0.1875
batch_269,-0.28125,-0.21875,-0.234375
batch_270,-0.0390625,-0.2578125,-0.171875
batch_271,-0.171875,-0.109375,-0.21875
batch_272,-0.0546875,-0.21875,-0.203125
batch_273,-0.1875,-0.171875,-0.28125
batch_274,-0.0859375,-0.125,-0.234375
batch_275,-0.2578125,-0.171875,-0.1953125
batch_276,-0.1640625,-0.359375,-0.3125
batch_277,-0.125,-0.171875,-0.234375
batch_278,-0.1171875,-0.140625,-0.2734375
batch_279,-0.3515625,-0.171875,-0.296875
batch_280,-0.2890625,-0.1953125,-0.25
batch_281,-0.0546875,-0.203125,-0.046875
batch_282,-0.234375,-0.234375,-0.21875
batch_283,-0.03125,-0.1328125,-0.1796875
batch_284,-0.1328125,-0.0625,-0.140625
batch_285,-0.1171875,-0.125,-0.28125
batch_286,-0.3359375,-0.1796875,-0.1953125
batch_287,-0.1953125,-0.1484375,-0.1015625
batch_288,-0.203125,-0.171875,-0.140625
batch_289,-0.171875,-0.15625,-0.1875
batch_290,-0.328125,-0.046875,-0.3359375
batch_291,-0.109375,-0.046875,-0.03125
batch_292,-0.0546875,-0.09375,-0.1640625
batch_293,-0.1484375,-0.2890625,-0.1796875
batch_294,-0.25,-0.140625,-0.1171875
batch_295,-0.1015625,-0.15625,-0.125
batch_296,-0.21875,-0.1953125,-0.203125
batch_297,-0.140625,-0.296875,-0.1484375
batch_298,-0.1015625,-0.203125,-0.109375
batch_299,-0.140625,-0.1171875,-0.09375
batch_300,-0.0234375,-0.09375,-0.171875
batch_301,-0.078125,-0.0859375,-0.1484375
batch_302,-0.203125,-0.265625,-0.125
batch_303,-0.203125,-0.171875,-0.296875
batch_304,-0.2421875,-0.25,-0.1875
batch_305,-0.3125,-0.28125,-0.265625
batch_306,-0.359375,-0.328125,-0.28125
batch_307,-0.2421875,-0.203125,-0.0078125
